symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSDT,1679436900000,2023-03-21 22:15:00,28051.17,28066.63,28041.37,28041.37,0.74200
BTCUSDT,1679436960000,2023-03-21 22:16:00,28037.44,28046.98,28028.84,28046.98,0.95369
BTCUSDT,1679437020000,2023-03-21 22:17:00,28053.88,28056.77,28044.57,28055.04,0.11813
BTCUSDT,1679437080000,2023-03-21 22:18:00,28069.42,28069.42,28054.20,28068.15,0.54920
BTCUSDT,1679437140000,2023-03-21 22:19:00,28063.87,28063.87,28046.98,28046.98,0.03789
BTCUSDT,1679437200000,2023-03-21 22:20:00,28045.64,28050.87,28024.56,28041.37,1.19131
BTCUSDT,1679437260000,2023-03-21 22:21:00,28039.30,28043.72,28024.34,28028.42,0.12372
BTCUSDT,1679437320000,2023-03-21 22:22:00,28024.55,28034.20,28014.08,28028.39,0.18711
BTCUSDT,1679437380000,2023-03-21 22:23:00,28018.94,28035.76,28017.69,28035.76,0.27466
BTCUSDT,1679437440000,2023-03-21 22:24:00,28038.92,28044.78,28033.45,28037.79,0.14237
BTCUSDT,1679437500000,2023-03-21 22:25:00,28042.81,28055.48,28039.77,28043.72,0.19281
BTCUSDT,1679437560000,2023-03-21 22:26:00,28041.38,28048.11,28022.12,28026.92,0.21835
BTCUSDT,1679437620000,2023-03-21 22:27:00,28020.62,28026.15,28020.62,28025.70,0.07281
BTCUSDT,1679437680000,2023-03-21 22:28:00,28026.17,28027.13,28016.02,28021.58,0.34526
BTCUSDT,1679437740000,2023-03-21 22:29:00,28020.73,28027.05,28020.73,28024.99,0.38278
BTCUSDT,1679437800000,2023-03-21 22:30:00,28025.87,28025.87,28017.54,28017.54,0.08897
BTCUSDT,1679437860000,2023-03-21 22:31:00,28015.23,28022.41,28013.06,28018.88,0.36731
BTCUSDT,1679437920000,2023-03-21 22:32:00,28018.95,28026.55,28011.93,28013.35,0.02935
BTCUSDT,1679437980000,2023-03-21 22:33:00,28012.68,28016.40,27996.55,27999.39,0.13346
BTCUSDT,1679438040000,2023-03-21 22:34:00,28002.98,28002.98,27980.44,27985.34,1.54473
BTCUSDT,1679438100000,2023-03-21 22:35:00,27984.43,27991.20,27984.43,27991.20,0.20850
BTCUSDT,1679438160000,2023-03-21 22:36:00,27986.60,27999.66,27986.53,27986.53,0.09254
BTCUSDT,1679438220000,2023-03-21 22:37:00,27985.34,27985.34,27957.37,27957.37,0.47817
BTCUSDT,1679438280000,2023-03-21 22:38:00,27963.87,27968.55,27925.00,27935.01,1.07331
BTCUSDT,1679438340000,2023-03-21 22:39:00,27936.51,27962.96,27930.91,27962.79,0.37217
BTCUSDT,1679438400000,2023-03-21 22:40:00,27961.52,27968.87,27961.52,27962.95,1.14933
BTCUSDT,1679438460000,2023-03-21 22:41:00,27966.57,27985.34,27966.57,27984.92,0.26062
BTCUSDT,1679438520000,2023-03-21 22:42:00,27989.19,27989.19,27967.06,27967.06,0.77957
BTCUSDT,1679438580000,2023-03-21 22:43:00,27968.80,27974.15,27968.80,27974.15,0.02117
BTCUSDT,1679438640000,2023-03-21 22:44:00,27973.72,27973.72,27955.91,27957.90,0.63803
BTCUSDT,1679438700000,2023-03-21 22:45:00,27963.57,27963.57,27951.77,27951.77,0.02182
BTCUSDT,1679438760000,2023-03-21 22:46:00,27946.19,27961.36,27946.19,27959.17,0.53388
BTCUSDT,1679438820000,2023-03-21 22:47:00,27955.13,27982.94,27955.13,27981.84,0.46605
BTCUSDT,1679438880000,2023-03-21 22:48:00,27985.34,28013.49,27985.34,28010.79,1.49164
BTCUSDT,1679438940000,2023-03-21 22:49:00,28010.80,28022.93,28010.80,28018.52,0.81338
