exchange,symbol,open_time_ms,open_time_utc,open,high,low,close,volume,volume_base_ccy,volume_quote_ccy,confirm
okx,BTCUSDT,1678012920000,2023-03-05 10:42:00,22402.5,22403.2,22395.1,22397.2,4.11066768,92070.96550342,92070.96550342,1
okx,BTCUSDT,1678012980000,2023-03-05 10:43:00,22397.1,22401.6,22393.9,22401.6,1.03921027,23273.559272762,23273.559272762,1
okx,BTCUSDT,1678013040000,2023-03-05 10:44:00,22401.6,22410.5,22401.6,22406.4,2.81760247,63132.637596491,63132.637596491,1
okx,BTCUSDT,1678013100000,2023-03-05 10:45:00,22406.3,22406.4,22401.6,22401.6,2.33141182,52237.391133437,52237.391133437,1
okx,BTCUSDT,1678013160000,2023-03-05 10:46:00,22401.5,22401.5,22395.8,22400,0.522323,11700.0611721,11700.0611721,1
okx,BTCUSDT,1678013220000,2023-03-05 10:47:00,22400.1,22400.1,22394,22394,1.03373487,23153.812074143,23153.812074143,1
okx,BTCUSDT,1678013280000,2023-03-05 10:48:00,22397.1,22397.1,22393.9,22393.9,0.01905346,426.688531533,426.688531533,1
okx,BTCUSDT,1678013340000,2023-03-05 10:49:00,22394,22394.6,22394,22394.5,0.05158018,1155.112371883,1155.112371883,1
okx,BTCUSDT,1678013400000,2023-03-05 10:50:00,22394.6,22400.1,22394.6,22396.4,0.46800393,10483.235479332,10483.235479332,1
okx,BTCUSDT,1678013460000,2023-03-05 10:51:00,22396.4,22400,22396.4,22400,0.58827606,13177.219561157,13177.219561157,1
okx,BTCUSDT,1678013520000,2023-03-05 10:52:00,22400.1,22400.7,22400.1,22400.7,0.45155211,10114.816983009,10114.816983009,1
okx,BTCUSDT,1678013580000,2023-03-05 10:53:00,22400.7,22400.7,22393.1,22393.1,1.857959,41610.385577725,41610.385577725,1
okx,BTCUSDT,1678013640000,2023-03-05 10:54:00,22393.1,22393.1,22388.6,22391.5,0.57534108,12881.741857553,12881.741857553,1
okx,BTCUSDT,1678013700000,2023-03-05 10:55:00,22391.5,22394.8,22391.5,22394.8,0.43405378,9719.854977899,9719.854977899,1
okx,BTCUSDT,1678013760000,2023-03-05 10:56:00,22394.8,22396.8,22392,22396.8,1.6543154,37045.524485986,37045.524485986,1
okx,BTCUSDT,1678013820000,2023-03-05 10:57:00,22396.9,22404.9,22396.9,22404.9,0.49014898,10979.119920163,10979.119920163,1
okx,BTCUSDT,1678013880000,2023-03-05 10:58:00,22405,22417.9,22405,22412,1.87762225,42084.77675117,42084.77675117,1
okx,BTCUSDT,1678013940000,2023-03-05 10:59:00,22413.1,22413.1,22408.9,22411.5,0.95951335,21504.763730382,21504.763730382,1
okx,BTCUSDT,1678014000000,2023-03-05 11:00:00,22410.3,22410.3,22409.2,22409.2,0.08483548,1901.169944987,1901.169944987,1
okx,BTCUSDT,1678014060000,2023-03-05 11:01:00,22409.3,22409.3,22408.5,22408.5,0.22696261,5086.050798467,5086.050798467,1
okx,BTCUSDT,1678014120000,2023-03-05 11:02:00,22409.2,22409.2,22406.6,22408.7,0.55315728,12394.965551341,12394.965551341,1
okx,BTCUSDT,1678014180000,2023-03-05 11:03:00,22408.6,22408.8,22407,22408.7,0.40488515,9072.537478058,9072.537478058,1
okx,BTCUSDT,1678014240000,2023-03-05 11:04:00,22408.7,22408.8,22405,22405.7,0.35489286,7952.475410708,7952.475410708,1
okx,BTCUSDT,1678014300000,2023-03-05 11:05:00,22405.7,22406.7,22405.7,22406.6,1.28397718,28769.336124967,28769.336124967,1
okx,BTCUSDT,1678014360000,2023-03-05 11:06:00,22406.7,22406.7,22405.7,22405.8,0.03315147,742.788597558,742.788597558,1
okx,BTCUSDT,1678014420000,2023-03-05 11:07:00,22405.8,22405.8,22404.3,22404.3,1.47098069,32957.471541054,32957.471541054,1
okx,BTCUSDT,1678014480000,2023-03-05 11:08:00,22404.3,22405,22404.3,22405,0.1261968,2827.437569732,2827.437569732,1
okx,BTCUSDT,1678014540000,2023-03-05 11:09:00,22405,22415.2,22404.9,22415.2,19.15463998,429160.334785883,429160.334785883,1
okx,BTCUSDT,1678014600000,2023-03-05 11:10:00,22415.2,22417.9,22415.2,22417,0.18348548,4113.178656605,4113.178656605,1
