symbol,datetime,open,high,low,close,volume,trades,imputed,gap_size,impute_method
BTCUSDT,2023-03-18 04:40:00+00:00,27391.2,27391.8,27391.2,27391.8,0.6,6,,,
BTCUSDT,2023-03-18 04:41:00+00:00,27375.7,27387.6,27375.7,27387.6,0.02710101,2,,,
BTCUSDT,2023-03-18 04:42:00+00:00,27375.7,27387.6,27375.7,27387.6,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:43:00+00:00,27375.7,27387.6,27375.7,27387.6,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:44:00+00:00,27368.9,27368.9,27368.9,27368.9,0.06922788,1,,,
BTCUSDT,2023-03-18 04:45:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:46:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:47:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:48:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:49:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:50:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:51:00+00:00,27368.90000010133,27368.900000278656,27368.90000010133,27368.900000278656,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 04:52:00+00:00,27344.3,27344.3,27327.5,27327.5,0.01236732,2,,,
BTCUSDT,2023-03-18 04:53:00+00:00,27344.3,27344.3,27327.5,27327.5,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 04:54:00+00:00,27314.0,27314.0,27314.0,27314.0,0.0001,1,,,
BTCUSDT,2023-03-18 04:55:00+00:00,27314.0,27314.0,27314.0,27314.0,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:56:00+00:00,27314.0,27314.0,27314.0,27314.0,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 04:57:00+00:00,27309.0,27309.0,27309.0,27309.0,0.00183056,1,,,
BTCUSDT,2023-03-18 04:58:00+00:00,27309.0,27309.0,27309.0,27309.0,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 04:59:00+00:00,27309.0,27309.0,27309.0,27309.0,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 05:00:00+00:00,27309.0,27309.0,27309.0,27309.0,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 05:01:00+00:00,27309.0,27309.0,27309.0,27309.0,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 05:02:00+00:00,27309.0,27309.0,27309.0,27309.0,0.0,0,True,5.0,LOCF
BTCUSDT,2023-03-18 05:03:00+00:00,27324.6,27330.6,27324.6,27330.6,0.73558264,5,,,
BTCUSDT,2023-03-18 05:04:00+00:00,27323.1,27323.1,27323.1,27323.1,0.00091473,1,,,
BTCUSDT,2023-03-18 05:05:00+00:00,27334.0,27334.0,27326.7,27326.7,1.49982,7,,,
BTCUSDT,2023-03-18 05:06:00+00:00,27343.3,27343.3,27343.3,27343.3,0.00354473,1,,,
BTCUSDT,2023-03-18 05:07:00+00:00,27343.3,27343.3,27343.3,27343.3,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:08:00+00:00,27329.8,27329.8,27329.8,27329.8,0.00099559,1,,,
BTCUSDT,2023-03-18 05:09:00+00:00,27329.8,27329.8,27329.8,27329.8,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:10:00+00:00,27312.1,27312.1,27312.1,27312.1,0.018366,1,,,
BTCUSDT,2023-03-18 05:11:00+00:00,27314.7,27322.0,27312.0,27319.0,1.20631284,12,,,
BTCUSDT,2023-03-18 05:12:00+00:00,27314.7,27322.0,27312.0,27319.0,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:13:00+00:00,27306.3,27306.3,27306.3,27306.3,0.0918127,1,,,
BTCUSDT,2023-03-18 05:14:00+00:00,27326.1,27326.1,27326.1,27326.1,0.000325,1,,,
BTCUSDT,2023-03-18 05:15:00+00:00,27331.0,27343.9,27331.0,27343.9,0.00507243,2,,,
BTCUSDT,2023-03-18 05:16:00+00:00,27360.8,27360.8,27360.8,27360.8,0.000325,1,,,
BTCUSDT,2023-03-18 05:17:00+00:00,27360.8,27360.8,27360.8,27360.8,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 05:18:00+00:00,27360.8,27360.8,27360.8,27360.8,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 05:19:00+00:00,27369.2,27369.2,27369.2,27369.2,0.004369,1,,,
BTCUSDT,2023-03-18 05:20:00+00:00,27368.3,27368.3,27368.3,27368.3,0.00044496,1,,,
BTCUSDT,2023-03-18 05:21:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:22:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:23:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:24:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:25:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:26:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:27:00+00:00,27368.30000001341,27368.30000001341,27368.30000001341,27368.30000001341,0.0,0,True,7.0,ETS
BTCUSDT,2023-03-18 05:28:00+00:00,27393.7,27393.7,27389.4,27389.4,0.07284,2,,,
BTCUSDT,2023-03-18 05:29:00+00:00,27393.7,27393.7,27389.4,27389.4,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:30:00+00:00,27396.5,27396.8,27396.5,27396.8,0.00183539,2,,,
BTCUSDT,2023-03-18 05:31:00+00:00,27396.5,27396.8,27396.5,27396.8,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:32:00+00:00,27397.8,27405.7,27397.8,27405.7,0.00062181,3,,,
BTCUSDT,2023-03-18 05:33:00+00:00,27419.8,27548.9,27419.8,27547.6,1.33350669,33,,,
BTCUSDT,2023-03-18 05:34:00+00:00,27516.9,27516.9,27509.6,27509.6,0.02179994,2,,,
BTCUSDT,2023-03-18 05:35:00+00:00,27490.0,27490.0,27490.0,27490.0,0.2084,3,,,
BTCUSDT,2023-03-18 05:36:00+00:00,27490.1,27490.1,27490.0,27490.0,1.59347015,2,,,
BTCUSDT,2023-03-18 05:37:00+00:00,27504.8,27504.8,27504.8,27504.8,0.41138165,1,,,
BTCUSDT,2023-03-18 05:38:00+00:00,27504.8,27504.8,27504.8,27504.8,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 05:39:00+00:00,27504.8,27504.8,27504.8,27504.8,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-18 05:40:00+00:00,27506.8,27506.8,27502.8,27502.8,0.01863402,2,,,
BTCUSDT,2023-03-18 05:41:00+00:00,27490.0,27490.0,27490.0,27490.0,0.00643,1,,,
BTCUSDT,2023-03-18 05:42:00+00:00,27492.6,27492.6,27490.0,27490.0,0.04227989,3,,,
BTCUSDT,2023-03-18 05:43:00+00:00,27493.9,27495.1,27490.0,27490.0,2.49645928,29,,,
BTCUSDT,2023-03-18 05:44:00+00:00,27490.0,27490.0,27456.8,27456.8,4.3480082,6,,,
BTCUSDT,2023-03-18 05:45:00+00:00,27479.4,27479.4,27479.4,27479.4,0.00236829,1,,,
BTCUSDT,2023-03-18 05:46:00+00:00,27479.4,27479.4,27479.4,27479.4,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-18 05:47:00+00:00,27479.4,27479.4,27479.4,27479.4,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-18 05:48:00+00:00,27479.4,27479.4,27479.4,27479.4,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-18 05:49:00+00:00,27479.4,27479.4,27479.4,27479.4,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-18 05:50:00+00:00,27470.6,27481.7,27470.6,27481.7,0.00191733,3,,,
BTCUSDT,2023-03-18 05:51:00+00:00,27487.0,27487.0,27487.0,27487.0,0.4,4,,,
BTCUSDT,2023-03-18 05:52:00+00:00,27490.0,27518.0,27490.0,27518.0,0.05105895,3,,,
BTCUSDT,2023-03-18 05:53:00+00:00,27540.7,27550.4,27540.7,27550.4,0.00616825,2,,,
BTCUSDT,2023-03-18 05:54:00+00:00,27550.5,27582.7,27550.5,27582.0,3.52586977,12,,,
BTCUSDT,2023-03-18 05:55:00+00:00,27550.5,27582.7,27550.5,27582.0,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:56:00+00:00,27582.8,27586.5,27582.8,27586.5,0.14605051,4,,,
BTCUSDT,2023-03-18 05:57:00+00:00,27582.8,27586.5,27582.8,27586.5,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 05:58:00+00:00,27563.1,27563.1,27563.1,27563.1,0.01216,1,,,
BTCUSDT,2023-03-18 05:59:00+00:00,27565.9,27565.9,27565.9,27565.9,0.00092009,1,,,
BTCUSDT,2023-03-18 06:00:00+00:00,27565.9,27565.9,27565.9,27565.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 06:01:00+00:00,27565.9,27565.9,27565.9,27565.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 06:02:00+00:00,27565.9,27565.9,27565.9,27565.9,0.0,0,True,3.0,LOCF
BTCUSDT,2023-03-18 06:03:00+00:00,27568.7,27568.7,27568.7,27568.7,0.01821534,1,,,
BTCUSDT,2023-03-18 06:04:00+00:00,27527.9,27527.9,27527.9,27527.9,0.00040301,1,,,
BTCUSDT,2023-03-18 06:05:00+00:00,27527.9,27527.9,27527.9,27527.9,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 06:06:00+00:00,27590.3,27590.3,27590.3,27590.3,0.01539088,1,,,
BTCUSDT,2023-03-18 06:07:00+00:00,27590.3,27590.3,27590.3,27590.3,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 06:08:00+00:00,27579.4,27579.4,27575.2,27575.2,0.05662728,2,,,
BTCUSDT,2023-03-18 06:09:00+00:00,27567.9,27567.9,27567.9,27567.9,0.0148575,1,,,
BTCUSDT,2023-03-18 06:10:00+00:00,27567.9,27567.9,27567.9,27567.9,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 06:11:00+00:00,27541.0,27541.0,27519.1,27519.1,0.004562,2,,,
BTCUSDT,2023-03-18 06:12:00+00:00,27530.9,27534.6,27530.9,27534.6,0.01088076,2,,,
BTCUSDT,2023-03-18 06:13:00+00:00,27530.9,27534.6,27530.9,27534.6,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 06:14:00+00:00,27490.3,27490.3,27490.3,27490.3,0.00039895,1,,,
BTCUSDT,2023-03-18 06:15:00+00:00,27503.5,27503.5,27503.5,27503.5,0.000653,1,,,
BTCUSDT,2023-03-18 06:16:00+00:00,27528.8,27528.8,27528.8,27528.8,0.00326957,1,,,
BTCUSDT,2023-03-18 06:17:00+00:00,27523.2,27523.2,27523.2,27523.2,0.00040226,1,,,
BTCUSDT,2023-03-18 06:18:00+00:00,27530.1,27530.1,27491.9,27491.9,0.15830129,5,,,
BTCUSDT,2023-03-18 06:19:00+00:00,27496.2,27496.2,27496.2,27496.2,0.00022,1,,,
BTCUSDT,2023-03-18 06:20:00+00:00,27496.9,27502.1,27494.1,27498.3,0.18187877,4,,,
BTCUSDT,2023-03-18 06:21:00+00:00,27496.9,27502.1,27494.1,27498.3,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-18 06:22:00+00:00,27499.0,27499.0,27491.5,27496.0,0.00688245,3,,,
BTCUSDT,2023-03-18 06:23:00+00:00,27487.5,27501.1,27487.5,27501.1,0.99150952,10,,,
BTCUSDT,2023-03-18 06:24:00+00:00,27485.5,27496.8,27485.5,27496.8,0.65184888,5,,,
BTCUSDT,2023-03-18 06:25:00+00:00,27470.8,27470.8,27469.6,27469.6,0.00534035,2,,,
BTCUSDT,2023-03-18 06:26:00+00:00,27470.8,27470.8,27469.6,27469.6,0.0,0,True,2.0,LOCF
