exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHEUR,2023-03-20 10:32:00,1679308320000,1669.13,1670.2,1668.33,1670.2,3.32370173
coinbase,ETHEUR,2023-03-20 10:33:00,1679308380000,1669.92,1670,1669.83,1670,0.16459353
coinbase,ETHEUR,2023-03-20 10:34:00,1679308440000,1669.83,1669.83,1668.8,1669.09,2.71656532
coinbase,ETHEUR,2023-03-20 10:35:00,1679308500000,1668.77,1670.59,1668.51,1668.51,1.47907419
coinbase,ETHEUR,2023-03-20 10:36:00,1679308560000,1669.73,1669.73,1669.42,1669.42,0.53518012
coinbase,ETHEUR,2023-03-20 10:37:00,1679308620000,1669.01,1669.01,1668.9,1668.9,1.43146644
coinbase,ETHEUR,2023-03-20 10:38:00,1679308680000,1668.85,1669.9,1668.85,1669.9,1.42893045
coinbase,ETHEUR,2023-03-20 10:39:00,1679308740000,1669.97,1670.11,1669.52,1669.55,5.7621203
coinbase,ETHEUR,2023-03-20 10:40:00,1679308800000,1669.39,1669.39,1668.46,1668.46,0.01533023
coinbase,ETHEUR,2023-03-20 10:41:00,1679308860000,1668.98,1669.32,1668.91,1669.08,23.41704627
coinbase,ETHEUR,2023-03-20 10:42:00,1679308920000,1669.2,1669.2,1666.19,1666.19,2.92366809
coinbase,ETHEUR,2023-03-20 10:43:00,1679308980000,1665.64,1667.36,1665.64,1667.23,4.23602636
coinbase,ETHEUR,2023-03-20 10:45:00,1679309100000,1667.62,1667.79,1664.93,1664.93,4.81155158
coinbase,ETHEUR,2023-03-20 10:46:00,1679309160000,1664.73,1667.52,1664.73,1667.16,20.21568769
coinbase,ETHEUR,2023-03-20 10:47:00,1679309220000,1667.01,1668.77,1666.4,1668.77,1.93153702
coinbase,ETHEUR,2023-03-20 10:48:00,1679309280000,1668.43,1668.67,1668.43,1668.51,5.91249948
coinbase,ETHEUR,2023-03-20 10:49:00,1679309340000,1668.35,1668.69,1668.15,1668.69,8.16321357
coinbase,ETHEUR,2023-03-20 10:50:00,1679309400000,1667.49,1667.49,1666.38,1666.45,15.3579554
coinbase,ETHEUR,2023-03-20 10:51:00,1679309460000,1665.63,1665.63,1664.2,1664.73,8.49275187
coinbase,ETHEUR,2023-03-20 10:53:00,1679309580000,1665.75,1665.75,1665.16,1665.16,2.05576772
coinbase,ETHEUR,2023-03-20 10:54:00,1679309640000,1664.74,1664.74,1664.11,1664.38,1.65239949
coinbase,ETHEUR,2023-03-20 10:55:00,1679309700000,1664,1664,1663.88,1663.91,1.87271996
coinbase,ETHEUR,2023-03-20 10:56:00,1679309760000,1664.95,1664.95,1664.95,1664.95,0.05886273
coinbase,ETHEUR,2023-03-20 10:57:00,1679309820000,1664.81,1664.81,1662.11,1664.48,3.15824293
coinbase,ETHEUR,2023-03-20 10:59:00,1679309940000,1664.4,1664.5,1664.4,1664.5,0.02352434
