exchange,symbol,open_time_utc,open_time_ms,open,high,low,close,volume
coinbase,ETHUSD,2023-03-04 07:12:00,1677913920000,1569.91,1570.05,1569.71,1569.98,8.78151369
coinbase,ETHUSD,2023-03-04 07:13:00,1677913980000,1569.98,1570,1569.74,1569.95,6.78754752
coinbase,ETHUSD,2023-03-04 07:14:00,1677914040000,1569.95,1569.95,1569.73,1569.82,7.24096088
coinbase,ETHUSD,2023-03-04 07:15:00,1677914100000,1569.75,1569.9,1569.64,1569.88,6.65290458
coinbase,ETHUSD,2023-03-04 07:16:00,1677914160000,1569.88,1570.67,1569.88,1570.41,33.47856814
coinbase,ETHUSD,2023-03-04 07:17:00,1677914220000,1570.44,1570.49,1570.02,1570.21,15.01661164
coinbase,ETHUSD,2023-03-04 07:18:00,1677914280000,1570.33,1571.23,1570.32,1571.23,15.21132159
coinbase,ETHUSD,2023-03-04 07:19:00,1677914340000,1571.09,1571.19,1570.76,1570.81,36.86249402
coinbase,ETHUSD,2023-03-04 07:20:00,1677914400000,1570.8,1570.83,1570.42,1570.45,6.82988373
coinbase,ETHUSD,2023-03-04 07:21:00,1677914460000,1570.45,1570.5,1570.33,1570.5,2.52749632
coinbase,ETHUSD,2023-03-04 07:22:00,1677914520000,1570.53,1570.55,1570.4,1570.47,4.57334071
coinbase,ETHUSD,2023-03-04 07:23:00,1677914580000,1570.46,1570.49,1570.17,1570.26,19.96931948
coinbase,ETHUSD,2023-03-04 07:24:00,1677914640000,1570.26,1570.26,1570.01,1570.08,8.45418149
coinbase,ETHUSD,2023-03-04 07:25:00,1677914700000,1570.07,1570.08,1569.3,1569.89,68.34191962
coinbase,ETHUSD,2023-03-04 07:26:00,1677914760000,1569.9,1570.19,1569.9,1570.16,9.44891151
coinbase,ETHUSD,2023-03-04 07:27:00,1677914820000,1570.16,1570.25,1570.09,1570.2,3.07562973
coinbase,ETHUSD,2023-03-04 07:28:00,1677914880000,1570.19,1570.26,1570.12,1570.13,5.89646191
coinbase,ETHUSD,2023-03-04 07:29:00,1677914940000,1570.13,1570.21,1570.01,1570.09,8.57117469
coinbase,ETHUSD,2023-03-04 07:30:00,1677915000000,1570.09,1570.19,1569.91,1569.91,5.39672129
coinbase,ETHUSD,2023-03-04 07:31:00,1677915060000,1569.91,1569.93,1569.51,1569.93,15.21996685
coinbase,ETHUSD,2023-03-04 07:32:00,1677915120000,1569.93,1569.93,1569.69,1569.83,10.49159624
coinbase,ETHUSD,2023-03-04 07:33:00,1677915180000,1569.83,1570.1,1569.15,1569.19,27.80398459
coinbase,ETHUSD,2023-03-04 07:34:00,1677915240000,1569.19,1569.56,1569.19,1569.39,29.14933635
coinbase,ETHUSD,2023-03-04 07:35:00,1677915300000,1569.39,1569.4,1569.19,1569.4,6.76754275
coinbase,ETHUSD,2023-03-04 07:36:00,1677915360000,1569.39,1569.9,1569.39,1569.9,17.08894065
coinbase,ETHUSD,2023-03-04 07:37:00,1677915420000,1569.9,1569.9,1569.79,1569.86,17.730761
