symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSDT,1678455180000,2023-03-10 13:33:00,20059.81,20103.9,20023.69,20056.8,9.44907,False,0,none
BTCUSDT,1678455240000,2023-03-10 13:34:00,20060.98,20105.51,20060.98,20083.31,3.77468,False,0,none
BTCUSDT,1678455300000,2023-03-10 13:35:00,20083.31,20083.32,20020.88,20024.58,11.12229,False,0,none
BTCUSDT,1678455360000,2023-03-10 13:36:00,20022.46,20066.44,20016.48,20026.99,8.11008,False,0,none
BTCUSDT,1678455420000,2023-03-10 13:37:00,20028.24,20029.23,19983.5,20003.77,13.0949,False,0,none
BTCUSDT,1678455480000,2023-03-10 13:38:00,20009.15,20028.54,19983.58,20016.86,7.81146,False,0,none
BTCUSDT,1678455540000,2023-03-10 13:39:00,20021.9,20024.09,20003.2,20020.89,5.62025,False,0,none
BTCUSDT,1678455600000,2023-03-10 13:40:00,20023.06,20066.56,20004.62,20065.34,8.25992,False,0,none
BTCUSDT,1678455660000,2023-03-10 13:41:00,20066.9,20082.89,20059.06,20075.94,5.75592,False,0,none
BTCUSDT,1678455720000,2023-03-10 13:42:00,20074.13,20136.14,20074.13,20134.27,5.55263,False,0,none
BTCUSDT,1678455780000,2023-03-10 13:43:00,20135.13,20253.77,20132.65,20238.65,19.4212,False,0,none
BTCUSDT,1678455840000,2023-03-10 13:44:00,20249.07,20260.67,20204.58,20204.58,10.05687,False,0,none
BTCUSDT,1678455900000,2023-03-10 13:45:00,20206.64,20250.63,20190.2,20250.63,8.10157,False,0,none
BTCUSDT,1678455960000,2023-03-10 13:46:00,20250.18,20288.74,20243.29,20259.27,10.09321,False,0,none
BTCUSDT,1678456020000,2023-03-10 13:47:00,20259.46,20275.37,20247.43,20252.59,5.82531,False,0,none
BTCUSDT,1678456080000,2023-03-10 13:48:00,20256.5,20308.8,20253.91,20286.9,7.6584,False,0,none
BTCUSDT,1678456140000,2023-03-10 13:49:00,20283.14,20297.11,20249.81,20253.78,6.33751,False,0,none
BTCUSDT,1678456200000,2023-03-10 13:50:00,20252.69,20252.69,20205.23,20240.81,8.4482,False,0,none
BTCUSDT,1678456260000,2023-03-10 13:51:00,20238.74,20265.14,20235.04,20238.85,6.21773,False,0,none
BTCUSDT,1678456320000,2023-03-10 13:52:00,20234.73,20237.3,20208.76,20227.87,7.77328,False,0,none
BTCUSDT,1678456380000,2023-03-10 13:53:00,20230.61,20250.76,20223.61,20242.63,4.64756,False,0,none
BTCUSDT,1678456440000,2023-03-10 13:54:00,20239.98,20275.22,20233.68,20240.61,3.28249,False,0,none
BTCUSDT,1678456500000,2023-03-10 13:55:00,20239.15,20244.83,20204.81,20210.03,4.06142,False,0,none
BTCUSDT,1678456560000,2023-03-10 13:56:00,20213.45,20213.45,20173.05,20194.19,8.144,False,0,none
BTCUSDT,1678456620000,2023-03-10 13:57:00,20197.01,20197.57,20169.3,20185.64,4.70648,False,0,none
BTCUSDT,1678456680000,2023-03-10 13:58:00,20187.55,20196.36,20172.83,20182.93,4.08527,False,0,none
BTCUSDT,1678456740000,2023-03-10 13:59:00,20184.52,20197.29,20178.41,20183.71,3.02658,False,0,none
BTCUSDT,1678456800000,2023-03-10 14:00:00,20185.67,20187.98,20150.97,20150.97,4.29661,False,0,none
BTCUSDT,1678456860000,2023-03-10 14:01:00,20149.84,20186.1,20146.98,20184.64,4.04308,False,0,none
BTCUSDT,1678456920000,2023-03-10 14:02:00,20184.1,20185.44,20141.53,20150.78,6.11605,False,0,none
BTCUSDT,1678456980000,2023-03-10 14:03:00,20147.71,20167.8,20120.8,20141.51,3.61188,False,0,none
BTCUSDT,1678457040000,2023-03-10 14:04:00,20144.78,20164.18,20138.78,20143.09,4.18773,False,0,none
BTCUSDT,1678457100000,2023-03-10 14:05:00,20140.02,20140.02,20092.7,20093.36,11.90027,False,0,none
BTCUSDT,1678457160000,2023-03-10 14:06:00,20094.5,20104.55,20037.77,20039.45,11.48853,False,0,none
BTCUSDT,1678457220000,2023-03-10 14:07:00,20043.4,20056.29,20008.67,20009.0,12.49287,False,0,none
