,exchange,symbol,open_time_utc,open,high,low,close,volume
2023-03-07 04:22:00+00:00,coinbase,BTCEUR,2023-03-07 04:22:00,21016.01,21022.1,21016.01,21022.1,0.20011557
2023-03-07 04:23:00+00:00,coinbase,BTCEUR,2023-03-07 04:23:00,21023.91,21023.91,21022.25,21022.25,0.00073088
2023-03-07 04:24:00+00:00,coinbase,BTCEUR,2023-03-07 04:23:00,21023.91,21023.91,21022.25,21022.25,0.0
2023-03-07 04:25:00+00:00,coinbase,BTCEUR,2023-03-07 04:23:00,21023.91,21023.91,21022.25,21022.25,0.0
2023-03-07 04:26:00+00:00,coinbase,BTCEUR,2023-03-07 04:26:00,21019.47,21019.49,21018.06,21019.49,0.01889851
2023-03-07 04:27:00+00:00,coinbase,BTCEUR,2023-03-07 04:27:00,21019.49,21019.49,21016.97,21018.39,0.06820975
2023-03-07 04:28:00+00:00,coinbase,BTCEUR,2023-03-07 04:27:00,21019.49,21019.49,21016.97,21018.39,0.0
2023-03-07 04:29:00+00:00,coinbase,BTCEUR,2023-03-07 04:29:00,21018.5,21018.5,21017.1,21017.1,0.22181182
2023-03-07 04:30:00+00:00,coinbase,BTCEUR,2023-03-07 04:30:00,21013.31,21013.31,21013.31,21013.31,0.00350745
2023-03-07 04:31:00+00:00,coinbase,BTCEUR,2023-03-07 04:31:00,21012.13,21012.13,21011.68,21011.68,0.00787221
2023-03-07 04:32:00+00:00,coinbase,BTCEUR,2023-03-07 04:31:00,21012.13,21012.13,21011.68,21011.68,0.0
2023-03-07 04:33:00+00:00,coinbase,BTCEUR,2023-03-07 04:31:00,21012.13,21012.13,21011.68,21011.68,0.0
2023-03-07 04:34:00+00:00,coinbase,BTCEUR,2023-03-07 04:34:00,21005.03,21005.03,21004.6,21004.6,0.00067196
2023-03-07 04:35:00+00:00,coinbase,BTCEUR,2023-03-07 04:34:00,21005.03,21005.03,21004.6,21004.6,0.0
2023-03-07 04:36:00+00:00,coinbase,BTCEUR,2023-03-07 04:34:00,21005.03,21005.03,21004.6,21004.6,0.0
2023-03-07 04:37:00+00:00,coinbase,BTCEUR,2023-03-07 04:37:00,21009.85,21009.85,21007.47,21007.47,0.00684856
2023-03-07 04:38:00+00:00,coinbase,BTCEUR,2023-03-07 04:37:00,21009.85,21009.85,21007.47,21007.47,0.0
2023-03-07 04:39:00+00:00,coinbase,BTCEUR,2023-03-07 04:37:00,21009.85,21009.85,21007.47,21007.47,0.0
2023-03-07 04:40:00+00:00,coinbase,BTCEUR,2023-03-07 04:40:00,21007.47,21011.65,21006.66,21008.4,0.02085788
2023-03-07 04:41:00+00:00,coinbase,BTCEUR,2023-03-07 04:41:00,21010.46,21010.46,21010.46,21010.46,0.00991441
2023-03-07 04:42:00+00:00,coinbase,BTCEUR,2023-03-07 04:42:00,21007.83,21008.76,21007.83,21008.76,0.0084606
